Code,Game,Interval,Date,Start_Time,End_Time,T_Hit,Shoot
ALAL10IH,X,Total,2025.04.09,15:33:53,15:43:53,14,40
ALAL10IH,X,MISC 1,2025.04.09,15:33:53,15:35:53,4,8
ALAL10IH,X,MISC 2,2025.04.09,15:35:53,15:37:53,2,4
ALAL10IH,X,MISC 3,2025.04.09,15:37:53,15:39:53,3,6
ALAL10IH,X,MISC 4,2025.04.09,15:39:53,15:41:53,3,8
ALAL10IH,X,MISC 5,2025.04.09,15:41:53,15:43:53,2,14
ALOL15DT,X,Total,2025.03.24,14:58:46,15:08:46,10,35
ALOL15DT,X,MISC 1,2025.03.24,14:58:46,15:00:46,4,15
ALOL15DT,X,MISC 2,2025.03.24,15:00:46,15:02:46,2,8
ALOL15DT,X,MISC 3,2025.03.24,15:02:46,15:04:46,2,7
ALOL15DT,X,MISC 4,2025.03.24,15:04:46,15:06:46,1,1
ALOL15DT,X,MISC 5,2025.03.24,15:06:46,15:08:46,1,4
ANCH07RN,X,Total,2025.04.25,16:39:17,16:49:17,18,52
ANCH07RN,X,MISC 1,2025.04.25,16:39:17,16:41:17,2,4
ANCH07RN,X,MISC 2,2025.04.25,16:41:17,16:43:17,3,7
ANCH07RN,X,MISC 3,2025.04.25,16:43:17,16:45:17,6,15
ANCH07RN,X,MISC 4,2025.04.25,16:45:17,16:47:17,2,11
ANCH07RN,X,MISC 5,2025.04.25,16:47:17,16:49:17,5,15
ANCH24RG,X,Total,2025.05.08,11:47:54,11:57:54,13,80
ANCH24RG,X,MISC 1,2025.05.08,11:47:54,11:49:54,3,10
ANCH24RG,X,MISC 2,2025.05.08,11:49:54,11:51:54,2,9
ANCH24RG,X,MISC 3,2025.05.08,11:51:54,11:53:54,2,4
ANCH24RG,X,MISC 4,2025.05.08,11:53:54,11:55:54,3,20
ANCH24RG,X,MISC 5,2025.05.08,11:55:54,11:57:54,3,37
ANGO16RG,X,Total,2025.02.03,13:21:36,13:31:36,18,49
ANGO16RG,X,MISC 1,2025.02.03,13:21:36,13:23:36,0,0
ANGO16RG,X,MISC 2,2025.02.03,13:23:36,13:25:36,3,6
ANGO16RG,X,MISC 3,2025.02.03,13:25:36,13:27:36,7,21
ANGO16RG,X,MISC 4,2025.02.03,13:27:36,13:29:36,4,10
ANGO16RG,X,MISC 5,2025.02.03,13:29:36,13:31:36,4,12
